linbergh_field,Campo,Carlsbad,Oceanside Airport,San Diego Mont. Field,Ramona,San Diego Brown Field
92152,92021,92009,92069,92123,92064,91902
92106,92019,92029,92083,92124,92040,91910
92140,91935,92024,92084,92120,92065,91914
92107,91901,92007,92028,92119,92036,91978
92110,91917,92091,92054,91942,91916,91913
92118,91980,92067,92055,92020,92070,91915
92101,91963,92075,92056,92071,92025,92154
92103,91962,92014,92057,92145,92128,92173
92104,91948,92127,92058,92131,92026,91911
92102,91906,92130,,92126,92027,91932
92113,91905,92129,,92122,92059,91931
92108,91934,92121,,,92060,92004
92116,92066,92008,,,92061,
92136,,92010,,,92078,
91950,,92011,,,92081,
92139,,92013,,,92082,
92114,,92003,,,92086,
91945,,,,,,
91977,,,,,,
91941,,,,,,
92111,,,,,,
92117,,,,,,
92037,,,,,,
92109,,,,,,
92105,,,,,,